Identifier,Title,Funding Org:Identifier,Funding Org:Name,Recipient Org:Charity Number,Recipient Org:Name,Internal Organisation ID,Currency,Amount Applied For,Amount Awarded,Application Date:Start Date,Award Date,Recipient Org:Street Address,Recipient Org:City,Recipient Org:County,Recipient Org:Postal Code,Recipient Org:Country,Recipient Org:Alternate Name,Recipient Org:Description,Planned Dates:Start Date,Planned Dates:Duration (months),Planned Dates:End Date,Beneficiary Location:Name,Beneficiary Location:Country Code,Beneficiary Location:Latitude/Longitude,Description,WebAddress,From an open call?,Related Activity:Identifier,Last modified,Recipient Org:Identifier
360G-indigotrust:IND12,Gizo Hospital,360G-indigotrust,Indigo Trust,,"University of Cambridge, Robinson College",7900,GBP,,30000,,28/08/2002 00:00,Grange Road,Cambridge,,CB3 9AN,UK,,,,36 months,,UK,GB,,"To establish a long term relationship between medical students at the 
college and Gizo Hospital in the Solomon Islands.",,,,25/02/2013 09:56,360G-indigotrust:org-7900
360G-indigotrust:IND14,leaflet,360G-indigotrust,Indigo Trust,1018517,Community Links,1696,GBP,,2500,,28/08/2002 00:00,"Tan y Clogwyn, Pistyll",Pwllheli,Gwynedd,LL53 6LP,UK,,,,12 months,,UK,GB,,"Towards the costs of producing a leaflet detailing accessible health and 
social care services to people in Newham.",,,,02/12/2002 14:51,GB-CHC-1018517
360G-indigotrust:IND15,UK Networking Prog,360G-indigotrust,Indigo Trust,328206,Womankind Worldwide,3454,GBP,,17000,,12/11/2002 00:00,"2nd Floor, Development House",56 - 64 Leonard Street,London,EC2A 4LT,UK,,,,12 months,,UK,GB,,Towards the costs of developing the UK Networking Programme.,,,,02/12/2002 14:51,GB-CHC-328206
360G-indigotrust:IND16,Training/Sup Officer,360G-indigotrust,Indigo Trust,1031291,Kids VIP,7636,GBP,,50000,,12/11/2002 00:00,PO Box 756,Haywards Heath,West Sussex,RH16 9HW,UK,,,,24 months,,UK,GB,,Towards the costs of employing a Training and Support Officer.,,,,02/12/2002 14:51,GB-CHC-1031291
360G-indigotrust:IND18,Access to work scheme for refugee teachers,360G-indigotrust,Indigo Trust,,Refugees Into Jobs,8476,GBP,,93092,,29/10/2003 00:00,"3-7 Lincoln Parade, Preston Road",Wembley,Middlesex,HA9 8UA,UK,,,,12 months,,UK,GB,,Access to work scheme for refugee teachers in West London.,,,,06/11/2003 12:47,360G-indigotrust:org-8476
360G-indigotrust:IND19,Women & Anger' Anger management programme,360G-indigotrust,Indigo Trust,1017560,Clean Break Theatre Company,1517,GBP,,35000,,29/10/2003 00:00,2 Patshull Road,London,,NW5 2LB,UK,,,,24 months,,UK,GB,,"Women & Anger' Anger Management Programme for women prisoners, 
ex-offenders and women detained by the Mental Health Act.",,,,03/08/2005 13:16,GB-CHC-1017560
360G-indigotrust:IND20,Towards the 2004 Awards,360G-indigotrust,Indigo Trust,802623,"Ashden Sustainable solutions, better lives",7910,GBP,,10000,,29/10/2003 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,"Ashden Sustainable solutions, better lives - Ashden Awards",,,12 months,,UK,GB,,Towards costs of the Ashden Awards for Sustainable Energy 2004.,,,,11/08/2004 15:42,GB-CHC-802623
360G-indigotrust:IND21,To develop productions,360G-indigotrust,Indigo Trust,,Ice & Fire Theatre Company,8747,GBP,,30000,,05/05/2004 00:00,Winkley Studios,7 Winkley Street,London,E2 6PY,UK,,,,24 months,,UK,GB,,To enable Ice & Fire to continue to develop productions.,,,,18/05/2005 14:39,360G-indigotrust:org-8747
360G-indigotrust:IND22,Evaluation,360G-indigotrust,Indigo Trust,,HM YOI Huntercombe,4588,GBP,,6600,,05/05/2004 00:00,"Huntercombe Place, Nuffield",Henley on Thames,Oxfordshire,RG9 5SB,UK,,,,12 months,,UK,GB,,For a full evaluation of the project.,,,,18/05/2004 16:04,360G-indigotrust:org-4588
360G-indigotrust:IND23,report and dissemination,360G-indigotrust,Indigo Trust,,Lemos & Crane,8749,GBP,,66500,,05/05/2004 00:00,64 Highgate Highstreet,London,,N6 5HX,UK,,,,12 months,,UK,GB,,"A qualitative study of the experiences of vulnerable people leaving the 
armed forces and of ex-servicemen living in homeless agencies.",,,,27/04/2005 14:39,360G-indigotrust:org-8749
360G-indigotrust:IND24,Merger,360G-indigotrust,Indigo Trust,1031291,Kids VIP,7636,GBP,,50000,,04/06/2004 00:00,PO Box 756,Haywards Heath,West Sussex,RH16 9HW,UK,,,,24 months,,UK,GB,,To run from the point of merger between Kids VIP and Clinks.,,,,01/03/2005 14:57,GB-CHC-1031291
360G-indigotrust:IND25,new service in Southwark,360G-indigotrust,Indigo Trust,1083549,Domestic Violence Intervention Project,5852,GBP,,90000,,04/06/2004 00:00,PO Box 2838,Hammersmith,London,W6 9ZE,UK,,,,36 months,,UK,GB,,To the support the development of a new service in Southwark.,,,,02/02/2005 15:48,GB-CHC-1083549
360G-indigotrust:IND26,Development of TVI,360G-indigotrust,Indigo Trust,,Violence Initiative,8764,GBP,,114000,,04/06/2004 00:00,First Floor,260 Langham Road,London,N15 3NP,UK,,,,36 months,,UK,GB,,Towards the development of TVI.,,,,24/08/2005 14:25,360G-indigotrust:org-8764
360G-indigotrust:IND27,Social enterprise models,360G-indigotrust,Indigo Trust,,East London Childcare Institute,8765,GBP,,70000,,04/06/2004 00:00,22 Deanery Road,London,,E15 4LP,UK,,,,24 months,,UK,GB,,Towards the development of social enterprise models for childcare.,,,,09/08/2005 14:42,360G-indigotrust:org-8765
360G-indigotrust:IND28,Life Skills Programme,360G-indigotrust,Indigo Trust,207782,St Christopher's Fellowship,5112,GBP,,30000,,04/06/2004 00:00,1 Putney High Street,London,,SW15 1SZ,UK,,,,24 months,,UK,GB,,Towards the costs of developing the Life Skills Programme at LRC.,,,,03/08/2005 13:16,GB-CHC-207782
360G-indigotrust:IND29,Internship Programme,360G-indigotrust,Indigo Trust,800065,Institute for Public Policy Research,1303,GBP,,12500,,04/06/2004 00:00,30-32 Southampton Street,London,,WC2E 7RA,UK,,,,12 months,,UK,GB,,To pilot an internship programme.,,,,10/06/2004 14:35,GB-CHC-800065
360G-indigotrust:IND31,salary and running costs,360G-indigotrust,Indigo Trust,267879,Action for Prisoners' Families,8798,GBP,,190659,,18/06/2004 00:00,"Unit 21, Carlson Court",116 Putney Bridge Road,London,SW15 2NQ,UK,,,,36 months,,UK,GB,,"Towards salary and running costs of £118,379 and pilot project costs 
(including core line management and equipment) of £72,280.",,,,05/07/2004 15:22,GB-CHC-267879
360G-indigotrust:IND32,We Are What We Do,360G-indigotrust,Indigo Trust,1018517,Community Links,1696,GBP,,30000,,13/09/2004 00:00,"Tan y Clogwyn, Pistyll",Pwllheli,Gwynedd,LL53 6LP,UK,,,,12 months,,UK,GB,,To enable WAWWD to employ a director of communtiy development.,,,,31/07/2008 10:00,GB-CHC-1018517
360G-indigotrust:IND33,children in custody,360G-indigotrust,Indigo Trust,251926,Howard League for Penal Reform,1983,GBP,,20000,,19/10/2004 00:00,1 Ardleigh Road,London,,N1 4HS,UK,,,,12 months,,UK,GB,,Towards the costs of an inquiry into the treatment of children in custody.,,,,15/11/2004 16:34,GB-CHC-251926
360G-indigotrust:IND34,2005 & 2006 Awards,360G-indigotrust,Indigo Trust,802623,"Ashden Sustainable solutions, better lives",7910,GBP,,20000,,19/10/2004 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,"Ashden Sustainable solutions, better lives - Ashden Awards",,,24 months,,UK,GB,,Towards the costs of the 2005 and 2006 Awards.,,,,07/04/2005 16:07,GB-CHC-802623
360G-indigotrust:IND35,management & development,360G-indigotrust,Indigo Trust,,The Sainsbury Archive,8313,GBP,,10000,,19/10/2004 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,,,,12 months,,UK,GB,,Towards the management and development of the Sainsbury Archive,,,,11/08/2005 10:39,360G-indigotrust:org-8313
360G-indigotrust:IND36,Life Stories & Cool Books,360G-indigotrust,Indigo Trust,,Writers in Prison Network Ltd,7899,GBP,,40000,,19/10/2004 00:00,PO Box 71,Welshpool,,SY21 0WB,UK,,,,24 months,,UK,GB,,Towards the development of Life Stories and Cool Books.,,,,03/12/2004 15:11,360G-indigotrust:org-7899
360G-indigotrust:IND37,employing manager,360G-indigotrust,Indigo Trust,,HMP Liverpool,8971,GBP,,70000,,19/10/2004 00:00,68 Hornby Road,Walton,Liverpool,L3 9DF,UK,,,,24 months,,UK,GB,,Towards the costs of employing a manager for Big House Arts.,,,,19/04/2005 14:13,360G-indigotrust:org-8971
360G-indigotrust:IND38,expand service,360G-indigotrust,Indigo Trust,1100619,Support Help & Advice for Relatives of Prisoners (SHARP),8972,GBP,,76460,,19/10/2004 00:00,83a Wyle Cop,Shrewsbury,Shropshire,SY1 1UT,UK,,,,36 months,,UK,GB,,To enable it to expand its services to a further ten prisons and YOIs.,,,,11/01/2005 11:31,GB-CHC-1100619
360G-indigotrust:IND39,leadership course,360G-indigotrust,Indigo Trust,,Kyra,8973,GBP,,25000,,19/10/2004 00:00,"337 Station Road, Dorridge",Solihull,Birmingham,B93 8EY,UK,,,,24 months,,UK,GB,,Towards the development of a leadership course.,,,,02/02/2005 15:48,360G-indigotrust:org-8973
360G-indigotrust:IND40,salary of Development Officer,360G-indigotrust,Indigo Trust,1065066,London Detainee Support Group,8974,GBP,,88850,,19/10/2004 00:00,"Leroy House, Unit 3R",436 Essex Road,London,N1 3QP,UK,,,,36 months,,UK,GB,,"To cover the salary of a Development Officer and the associated management 
costs.",,,,21/10/2005 11:10,GB-CHC-1065066
360G-indigotrust:IND41,Development Director,360G-indigotrust,Indigo Trust,295324,Pan Centre for Intercultural Arts Limited,8975,GBP,,54150,,19/10/2004 00:00,"52 Foundling Court, Brunswick Centre",Marchmont Street,London,WC1N 1AN,UK,,,,36 months,,UK,GB,,Towards the costs of a new Development Director.,,,,11/01/2005 11:31,GB-CHC-295324
360G-indigotrust:IND42,Arts based workshops,360G-indigotrust,Indigo Trust,,HMP/YOI Bullwood Hall,8836,GBP,,37645,,23/11/2004 00:00,High Road,Hockley,Essex,SS5 4TE,UK,,,,12 months,,UK,GB,,"Towards the programme of intensive arts-based workshops for holiday and 
vacation periods, in support of the grant from the Mark Leonard Trust to 
enrich the regular curriculum.",,,,03/08/2005 13:16,360G-indigotrust:org-8836
360G-indigotrust:IND43,Internship,360G-indigotrust,Indigo Trust,,King's College London,14483,GBP,,12500,,16/12/2004 00:00,26-29 Drury Lane,London,,WC2B 5RI,UK,"King's College London - Centre for Crime and Justice Studies, School of Law",,,12 months,,UK,GB,,"Towards an internship for Centre for Crime & Justice Studies in support of 
Una Padel",,,,16/12/2004 12:22,360G-indigotrust:org-14483
360G-indigotrust:IND44,Towards core costs in 2004/5,360G-indigotrust,Indigo Trust,,Refugee Therapy Centre (RTC),6891,GBP,,20000,,16/12/2004 00:00,40 St John's Way,,London,N19 3RR,UK,,,,12 months,,UK,GB,,Towards core costs in 2004/5,,,,14/01/2005 12:30,360G-indigotrust:org-6891
360G-indigotrust:IND45,Tsunami relief (anonymous donation),360G-indigotrust,Indigo Trust,1062638,Disasters Emergency Committee,7880,GBP,,20000,,04/01/2005 00:00,15 Warren Mews,London,,W1T 6AZ,UK,,,,12 months,,UK,GB,,Tsunami relief (anonymous donation),,,,18/01/2005 15:25,GB-CHC-1062638
360G-indigotrust:IND46,G8' award in 2005,360G-indigotrust,Indigo Trust,802623,"Ashden Sustainable solutions, better lives",7910,GBP,,38000,,09/02/2005 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,"Ashden Sustainable solutions, better lives - Ashden Awards",,,12 months,,UK,GB,,"To cover the costs of a 'G8' award in 2005. This award will go to an 
innovative African project in an effort to draw attention to sustainable 
energy as one of the solutions to the issues being discussed at the G8 
summit in Scotland in July. The exact title of the award is to be confirmed.",,,,07/04/2005 16:08,GB-CHC-802623
360G-indigotrust:IND47,Rolling emergency bed space in Shepherds Bush,360G-indigotrust,Indigo Trust,274403,Broadway,4827,GBP,,5000,,17/03/2005 00:00,"Central Office, 15 Half Moon Court",Bartholomew Close,London,EC1A 7HF,UK,,,,12 months,,UK,GB,,"Towards increasing the availability of a rolling emergency bed space to 
meet short term housing and benefit gaps.",,,,03/08/2005 13:16,GB-CHC-274403
360G-indigotrust:IND48,Towards programme of participatory arts events,360G-indigotrust,Indigo Trust,1004137,Emergency Exit Arts,14598,GBP,,90000,,17/03/2005 00:00,P O Box 570,London,,DE10 0EE,UK,,,,36 months,,UK,GB,,"Towards a programme of participating arts events and training in Abbey 
Wood, Thamesmead, aimed at the integration of traveller, refugee and 
indigenous communities.",,,,04/07/2005 12:23,GB-COH-IP1004137
360G-indigotrust:IND49,Emergency fund for accommodation,360G-indigotrust,Indigo Trust,24377R,Thames Reach,394,GBP,,5000,,17/03/2005 00:00,Gem House,122 Backchurch Lane,London,E1 1ND,UK,,,,12 months,,UK,GB,,"Towards emergency fund for accommodation to meet short term housing and 
benefit gaps.",,,,31/03/2005 13:04,GB-CHC-24377R
360G-indigotrust:IND50,Core costs,360G-indigotrust,Indigo Trust,1097969,Restorative Justice Consortium,14599,GBP,,75000,,17/03/2005 00:00,"Merchant House, 89 Southwark Street",,London,SE1 0HX,UK,,,,36 months,,UK,GB,,"Towards core costs as it builds up strength of its membership and 
consultancy revenue.",,,,04/07/2005 14:25,GB-CHC-1097969
360G-indigotrust:IND51,renovation costs,360G-indigotrust,Indigo Trust,1105126,U-Turn Women's Project,14605,GBP,,70000,,22/03/2005 00:00,St Margaret's House,21 Old Ford Road,London,E2 9PJ,UK,,,,12 months,,UK,GB,,"To cover the costs of converting St Matthew's Church hall into the U-Turn 
Project's women's centre.",,,,16/06/2005 14:44,GB-CHC-1105126
360G-indigotrust:IND52,Employing new prison and charity links coordinator,360G-indigotrust,Indigo Trust,1085709,Alternatives to Violence Project,14888,GBP,,120000,,03/08/2005 00:00,"AVP London, The Grayston Centre",28 Charles Square,London,N1 6HT,UK,,,,36 months,,UK,GB,,Towards the costs of employing a new prison and charity links coordinator.,,,,05/09/2005 13:17,GB-CHC-1085709
360G-indigotrust:IND53,Further development of the Manwaring Centre,360G-indigotrust,Indigo Trust,,HM YOI Huntercombe,4588,GBP,,93750,,03/08/2005 00:00,"Huntercombe Place, Nuffield",Henley on Thames,Oxfordshire,RG9 5SB,UK,,,,48 months,,UK,GB,,Towards further development of the Manwaring Centre.,,,,17/08/2005 11:59,360G-indigotrust:org-4588
360G-indigotrust:IND54,Development of the PRIME programme at HMP Downview,360G-indigotrust,Indigo Trust,,Media for Development Limited (MFD),14889,GBP,,90000,,03/08/2005 00:00,"3rd Floor, Willow House",72-74 Paul Street,London,EC2A 4NA,UK,Media for Development Limited (MFD) - Inside Job Productions,,,24 months,,UK,GB,,Towards the development of the PRIME programme at HMP Downview.,,,,24/08/2005 14:25,360G-indigotrust:org-14889
360G-indigotrust:IND55,Get Reading,360G-indigotrust,Indigo Trust,1086518,KPMG Foundation,14805,GBP,,201000,,03/08/2005 00:00,8 Salisbury Square,Blackfriars,London,EC4Y 8BB,UK,,,,36 months,,UK,GB,,To set up Reading Recovery in one LEA,,,,03/10/2005 15:24,GB-CHC-1086518
360G-indigotrust:IND56,Core costs of Write to Life Project,360G-indigotrust,Indigo Trust,1000340,Medical Foundation for the Care of Victims of Torture,7228,GBP,,69850,,03/08/2005 00:00,111 Isledon Road,Islington,London,N7 7JW,UK,,,,36 months,,UK,GB,,Towards core costs of the Write to Life Project,,,,09/09/2005 14:56,GB-CHC-1000340
360G-indigotrust:IND57,Core costs,360G-indigotrust,Indigo Trust,,Ice & Fire Theatre Company,8747,GBP,,90000,,03/08/2005 00:00,Winkley Studios,7 Winkley Street,London,E2 6PY,UK,,,,36 months,,UK,GB,,"Towards core costs to enable it to develop a number of new projects with 
refugees and refugee groups.",,,,05/09/2005 13:24,360G-indigotrust:org-8747
360G-indigotrust:IND58,Partnership Training Programme,360G-indigotrust,Indigo Trust,1081406,Management Accounting for Non-Governmental Organisations (MANGO),6402,GBP,,60000,,03/08/2005 00:00,97a St Aldates,Oxford,,OX1 1BT,UK,,,,36 months,,UK,GB,,To enable Mango to pilot a partnership training programme,,,,17/08/2005 12:17,GB-CHC-1081406
360G-indigotrust:IND59,Further development of 'Accommodate' programme,360G-indigotrust,Indigo Trust,1096829,hact (Housing Associations Charitable Trust),716,GBP,,90000,,03/08/2005 00:00,49-51 East Road,London,,N1 6AH,UK,,,,36 months,,UK,GB,,Towards the further development of the 'Accommodate' programme,,,,09/09/2005 14:56,GB-CHC-1096829
360G-indigotrust:IND62,Evaluation into 'prison as workplace schemes',360G-indigotrust,Indigo Trust,,"University of Central England, Birmingham",14959,GBP,,40000,,03/08/2005 00:00,Perry Barr,Birmingham,,B42 2SU,UK,,,,12 months,,UK,GB,,"Towards an independent evaluation into 'prison as workplace schemes' in the 
UK",,,,12/10/2005 12:12,360G-indigotrust:org-14959
360G-indigotrust:IND63,core costs,360G-indigotrust,Indigo Trust,517817,Institute of Food Brain & Behaviour,6234,GBP,,120000,,24/10/2005 00:00,Old Music Hall,106-108 Cowley Road,Oxford,OX4 1JE,UK,Institute of Food Brain & Behaviour - (formerly Natural Justice),,,36 months,,UK,GB,,Towards core costs,,,,08/11/2005 11:58,GB-CHC-517817
360G-indigotrust:IND64,towards the Parent Education Programme,360G-indigotrust,Indigo Trust,,Campaign for Learning,9709,GBP,,239947,,24/10/2005 00:00,19 Buckingham Street,London,,WC2 6EF,UK,,,,24 months,,UK,GB,,Towards the Parent Education Programme,,,,30/05/2006 11:29,360G-indigotrust:org-9709
360G-indigotrust:IND65,costs of establishing Volunteer Engagement Unit,360G-indigotrust,Indigo Trust,219278,Prison Advice & Care Trust (PACT),8094,GBP,,135000,,24/10/2005 00:00,"Suite C5, City Cloisters",196 Old Street,London,EC1V 9FR,UK,,,,36 months,,UK,GB,,Towards the costs of establishing a Volunteer Engagement Unit,,,,08/11/2005 12:00,GB-CHC-219278
360G-indigotrust:IND66,costs of the Dance & Criminal Justice Programme,360G-indigotrust,Indigo Trust,1087232,Dance United,6582,GBP,,95000,,24/10/2005 00:00,"Central Office, One KX",120 Cromer Street,London,WC1H 8BS,UK,,,,36 months,,UK,GB,,Towards the costs of the Dance and Criminal Justice Programme.,,,,08/11/2005 12:10,GB-CHC-1087232
360G-indigotrust:IND67,"social entrepreneurship scheme, HMP W'worth & DV",360G-indigotrust,Indigo Trust,,UnLtd,8970,GBP,,53000,,24/10/2005 00:00,123 Whitecross Street,Islington,London,EC1Y 8JJ,UK,,,,12 months,,UK,GB,,"Towards the costs of establishing a social entrepreneurship scheme in HMP 
Wandsworth and HMP Downview",,,,08/11/2005 12:02,GB-COH-IP
360G-indigotrust:IND68,Refugee Economic Inclusion Scheme (REIS),360G-indigotrust,Indigo Trust,,Paddington Development Trust (PDT),14996,GBP,,77000,,24/10/2005 00:00,26 Westbourne Studios,242 Acklam Road,London,W10 5JJ,UK,,,,24 months,,UK,GB,,Towards the Refugee Economic Inclusion Scheme.,,,,08/11/2005 12:04,360G-indigotrust:org-14996
360G-indigotrust:IND70,piloting more appropriate services for women,360G-indigotrust,Indigo Trust,1149085,St Mungo Community Housing Association,4745,GBP,,135000,,24/10/2005 00:00,"St Mungo's Broadway, Griffin House",161 Hammersmith Road,London,W6 8BS,UK,,,,36 months,,UK,GB,,Towards the costs of piloting more appropriate services for women,,,,08/11/2005 12:11,GB-CHC-1149085
360G-indigotrust:IND71,research into recruitment of child soldiers in UK,360G-indigotrust,Indigo Trust,,Anglia Ruskin University,14997,GBP,,35000,,24/10/2005 00:00,Ashby House,Hoffman Way,Chelmsford,CM1 1SQ,UK,Anglia Ruskin University - Institute of Health & Social Care,,,12 months,,UK,GB,,Towards research into the recruitment of child soldiers in the UK.,,,,22/03/2006 19:11,360G-indigotrust:org-14997
360G-indigotrust:IND72,towards costs of Prostitution Debate,360G-indigotrust,Indigo Trust,,Women's Library,8465,GBP,,14000,,24/10/2005 00:00,London Metropolitan University,Old Castle Street,London,E1 7NT,UK,,,,12 months,,UK,GB,,Towards the costs of the Prostitution Debate,,,,08/11/2005 12:12,360G-indigotrust:org-8465
360G-indigotrust:IND73,salary costs,360G-indigotrust,Indigo Trust,296383,Fawcett Society,4831,GBP,,119000,,24/10/2005 00:00,1-3 Berry Street,London,,EC1B 0AA,UK,,,,36 months,,UK,GB,,"Towards the salary and associated management costs of a policy officer to 
lead a project on issues facing BME women in the UK.",,,,08/11/2005 12:15,GB-CHC-296383
360G-indigotrust:IND74,towards costs of an Overseas Awards,360G-indigotrust,Indigo Trust,802623,"Ashden Sustainable solutions, better lives",7910,GBP,,82000,,24/10/2005 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,"Ashden Sustainable solutions, better lives - Ashden Awards",,,12 months,,UK,GB,,Towards the costs of an Overseas Award.,,,,04/04/2006 10:22,GB-CHC-802623
360G-indigotrust:IND75,workshops on conflict resolution for young muslims,360G-indigotrust,Indigo Trust,327947,Peace Direct,8676,GBP,,7000,,07/12/2005 00:00,Development House,56-64 Leonard Street,London,EC2A 4JX,UK,,,,12 months,,UK,GB,,Towards workshops on conflict resolution for young muslims,,,,20/12/2005 11:56,GB-CHC-327947
360G-indigotrust:IND76,secretariat costs of all-party parliamentary cttee,360G-indigotrust,Indigo Trust,1058949,Anne Peaker Centre for Arts in Criminal Justice,15553,GBP,,80000,,14/11/2006 00:00,Neville House,90-91 Northgate,Canterbury,CT1 1BA,UK,,,,24 months,,UK,GB,,"Towards the secretariat costs of an all-party parliamentary committee on 
the role of arts in prisons.",,,,05/12/2006 09:53,GB-CHC-1058949
360G-indigotrust:IND77,costs of the Awards,360G-indigotrust,Indigo Trust,802623,"Ashden Sustainable solutions, better lives",7910,GBP,,140000,,14/11/2006 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,"Ashden Sustainable solutions, better lives - Ashden Awards",,,36 months,,UK,GB,,Towards the costs of the Awards.,,,,02/02/2007 10:41,GB-CHC-802623
360G-indigotrust:IND78,costs of organisation's reconstitution as charity,360G-indigotrust,Indigo Trust,,Refugees Into Jobs,8476,GBP,,55000,,14/11/2006 00:00,"3-7 Lincoln Parade, Preston Road",Wembley,Middlesex,HA9 8UA,UK,,,,12 months,,UK,GB,,Towards the costs of the organisation's reconstitution as a charity.,,,,05/12/2006 09:56,360G-indigotrust:org-8476
360G-indigotrust:IND79,"£40,000 of £50,000 loan converted to a grant",360G-indigotrust,Indigo Trust,,We Are What We Do,14915,GBP,,40000,,05/04/2008 00:00,71 St John Street,London,,EC1M 4NJ,UK,,,,12 months,,UK,GB,,"£40,000 of £50,000 loan converted to a grant. To cover the period between 
book sales and receipt of revenue.",,,,06/10/2009 12:32,360G-indigotrust:org-14915
360G-indigotrust:IND80,Sainsbury Archive,360G-indigotrust,Indigo Trust,,The Sainsbury Archive,8313,GBP,,1593,,18/07/2008 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,,,,12 months,,UK,GB,,Towards the core costs of the Sainsbury Archive.,,,,23/07/2008 09:27,360G-indigotrust:org-8313
360G-indigotrust:IND81,The Sainsbury Archive,360G-indigotrust,Indigo Trust,,The Sainsbury Archive,8313,GBP,,5000,,18/07/2008 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,,,,24 months,,UK,GB,,Towards additional costs of the Sainsbury Archive.,,,,19/07/2010 07:54,360G-indigotrust:org-8313
360G-indigotrust:IND82,towards costs of creating a criminal justice fund,360G-indigotrust,Indigo Trust,1094681,Impetus Trust,8066,GBP,,402500,,28/07/2008 00:00,20 Flaxman Terrace,London,,WC1H 9PN,UK,,,,48 months,,UK,GB,,Towards the costs of creating a criminal justice fund.,,,,21/03/2013 12:59,GB-CHC-1094681
